Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
0,<music21.chord.Chord A4 C5 D#5 E5>,"[0, 3, 6, 7]","[9, 0, 3, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,1,1
0.5,<music21.chord.Chord F4 A4 B4 C#5>,"[0, 2, 4, 8]","[9, 11, 1, 5]",Bachlund_Commedia_Dellarte.xml,Bachlund,1,1 1/2
1,<music21.chord.Chord D5 F5 A5>,"[0, 3, 7]","[2, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,1,2
1.5,<music21.chord.Chord C5 E5 G5>,"[0, 4, 7]","[0, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,1,2 1/2
2,<music21.chord.Chord B4 D5 F5>,"[0, 3, 6]","[11, 2, 5]",Bachlund_Commedia_Dellarte.xml,Bachlund,1,3
2.5,<music21.chord.Chord A4 C5 E5>,"[0, 3, 7]","[9, 0, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,1,3 1/2
3,<music21.chord.Chord G4 B4 D5>,"[0, 4, 7]","[7, 11, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,1,4
3.5,<music21.chord.Chord F4 A4 C5>,"[0, 4, 7]","[5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,1,4 1/2
4,<music21.chord.Chord F4 A4 C#5>,"[0, 4, 8]","[1, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,2,1
4.5,<music21.chord.Chord E4 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Bachlund_Commedia_Dellarte.xml,Bachlund,2,1 1/2
5,<music21.chord.Chord F4 A4 C#5>,"[0, 4, 8]","[1, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,2,2
5.5,<music21.chord.Chord C4 E4 G4>,"[0, 4, 7]","[0, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,2,2 1/2
6,<music21.chord.Chord F4 A4 C#5>,"[0, 4, 8]","[1, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,2,3
6.5,<music21.chord.Chord D4 F4 A4>,"[0, 3, 7]","[2, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,2,3 1/2
7,<music21.chord.Chord F#4 A4 C#5>,"[0, 3, 7]","[6, 9, 1]",Bachlund_Commedia_Dellarte.xml,Bachlund,2,4
