Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
280.5,<music21.chord.Chord F2 E-4>,"[0, 2]","[3, 5]",Simpson_Invention_no6.xml,Simpson,141,1.500
281,<music21.chord.Chord F2 D4>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,Simpson,141,2.000
281.5,<music21.chord.Chord F2 A-3>,"[0, 3]","[5, 8]",Simpson_Invention_no6.xml,Simpson,141,2.500
282,<music21.chord.Chord B-2 G3>,"[0, 3]","[7, 10]",Simpson_Invention_no6.xml,Simpson,142,1.000
282.5,<music21.chord.Chord B-2 E-4>,"[0, 5]","[10, 3]",Simpson_Invention_no6.xml,Simpson,142,1.500
283,<music21.chord.Chord B-1 F3>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,Simpson,142,2.000
283.5,<music21.chord.Chord B-1 D4>,"[0, 4]","[10, 2]",Simpson_Invention_no6.xml,Simpson,142,2.500
284,<music21.chord.Chord E-2 E-4>,[0],[3],Simpson_Invention_no6.xml,Simpson,143,1.000
284.3333333,<music21.chord.Chord G2 E-4>,"[0, 4]","[3, 7]",Simpson_Invention_no6.xml,Simpson,143,1.333
284.6666667,<music21.chord.Chord B-2 E-4>,"[0, 5]","[10, 3]",Simpson_Invention_no6.xml,Simpson,143,1.667
285,<music21.chord.Chord E-3 G3>,"[0, 4]","[3, 7]",Simpson_Invention_no6.xml,Simpson,143,2.000
285.5,<music21.chord.Chord E-3 A-3>,"[0, 5]","[3, 8]",Simpson_Invention_no6.xml,Simpson,143,2.500
286,<music21.chord.Chord F2 E-4>,"[0, 2]","[3, 5]",Simpson_Invention_no6.xml,Simpson,144,1.000
286.5,<music21.chord.Chord B-2 E-4>,"[0, 5]","[10, 3]",Simpson_Invention_no6.xml,Simpson,144,1.500
287,<music21.chord.Chord E-3 A-3>,"[0, 5]","[3, 8]",Simpson_Invention_no6.xml,Simpson,144,2.000
287.3333333,<music21.chord.Chord E-3 B-3>,"[0, 5]","[10, 3]",Simpson_Invention_no6.xml,Simpson,144,2.333
287.6666667,<music21.chord.Chord E-3 C4>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,Simpson,144,2.667
288,<music21.chord.Chord G2 E-4>,"[0, 4]","[3, 7]",Simpson_Invention_no6.xml,Simpson,145,1.000
288.3333333,<music21.chord.Chord A-2 E-4>,"[0, 5]","[3, 8]",Simpson_Invention_no6.xml,Simpson,145,1.333
288.6666667,<music21.chord.Chord B-2 E-4>,"[0, 5]","[10, 3]",Simpson_Invention_no6.xml,Simpson,145,1.667
289,<music21.chord.Chord E-3 B-3>,"[0, 5]","[10, 3]",Simpson_Invention_no6.xml,Simpson,145,2.000
289.5,<music21.chord.Chord E-3 C4>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,Simpson,145,2.500
290,<music21.chord.Chord A-2 E-4>,"[0, 5]","[3, 8]",Simpson_Invention_no6.xml,Simpson,146,1.000
290.5,<music21.chord.Chord B-2 E-4>,"[0, 5]","[10, 3]",Simpson_Invention_no6.xml,Simpson,146,1.500
291,<music21.chord.Chord E-3 B-3>,"[0, 5]","[10, 3]",Simpson_Invention_no6.xml,Simpson,146,2.000
291.3333333,<music21.chord.Chord E-3 C4>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,Simpson,146,2.333
291.6666667,<music21.chord.Chord E-3 D4>,"[0, 1]","[2, 3]",Simpson_Invention_no6.xml,Simpson,146,2.667
292,<music21.chord.Chord B-2 E-4>,"[0, 5]","[10, 3]",Simpson_Invention_no6.xml,Simpson,147,1.000
292.3333333,<music21.chord.Chord E-3 E-4>,[0],[3],Simpson_Invention_no6.xml,Simpson,147,1.333
292.6666667,<music21.chord.Chord G3 E-4>,"[0, 4]","[3, 7]",Simpson_Invention_no6.xml,Simpson,147,1.667
293,<music21.chord.Chord B-3 F4>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,Simpson,147,2.000
293.5,<music21.chord.Chord B-3 G4>,"[0, 3]","[7, 10]",Simpson_Invention_no6.xml,Simpson,147,2.500
294,<music21.chord.Chord C3 E-4>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,Simpson,148,1.000
294.5,<music21.chord.Chord A-3 E-4>,"[0, 5]","[3, 8]",Simpson_Invention_no6.xml,Simpson,148,1.500
295,<music21.chord.Chord B-3 F4>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,Simpson,148,2.000
295.3333333,<music21.chord.Chord B-3 G4>,"[0, 3]","[7, 10]",Simpson_Invention_no6.xml,Simpson,148,2.333
295.6666667,<music21.chord.Chord B-3 A-4>,"[0, 2]","[8, 10]",Simpson_Invention_no6.xml,Simpson,148,2.667
296,<music21.chord.Chord D3 E-4>,"[0, 1]","[2, 3]",Simpson_Invention_no6.xml,Simpson,149,1.000
296.3333333,<music21.chord.Chord G3 E-4>,"[0, 4]","[3, 7]",Simpson_Invention_no6.xml,Simpson,149,1.333
296.6666667,<music21.chord.Chord A-3 E-4>,"[0, 5]","[3, 8]",Simpson_Invention_no6.xml,Simpson,149,1.667
297,<music21.chord.Chord B-3 A-4>,"[0, 2]","[8, 10]",Simpson_Invention_no6.xml,Simpson,149,2.000
297.5,<music21.chord.Chord B-3 B-4>,[0],[10],Simpson_Invention_no6.xml,Simpson,149,2.500
298,<music21.chord.Chord E-3 E-4>,[0],[3],Simpson_Invention_no6.xml,Simpson,150,1.000
298.5,<music21.chord.Chord A-3 E-4>,"[0, 5]","[3, 8]",Simpson_Invention_no6.xml,Simpson,150,1.500
299,<music21.chord.Chord B-3 B-4>,[0],[10],Simpson_Invention_no6.xml,Simpson,150,2.000
299.5,<music21.chord.Chord B-3 C5>,"[0, 2]","[10, 0]",Simpson_Invention_no6.xml,Simpson,150,2.500
300,<music21.chord.Chord F3 D5>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,Simpson,151,1.000
300.3333333,<music21.chord.Chord G3 D5>,"[0, 5]","[2, 7]",Simpson_Invention_no6.xml,Simpson,151,1.333
300.6666667,<music21.chord.Chord A-3 D5>,"[0, 6]","[2, 8]",Simpson_Invention_no6.xml,Simpson,151,1.667
301,<music21.chord.Chord B-3 D5>,"[0, 4]","[10, 2]",Simpson_Invention_no6.xml,Simpson,151,2.000
301.3333333,<music21.chord.Chord B-3 C5>,"[0, 2]","[10, 0]",Simpson_Invention_no6.xml,Simpson,151,2.333
301.6666667,<music21.chord.Chord B-3 B-4>,[0],[10],Simpson_Invention_no6.xml,Simpson,151,2.667
302,<music21.chord.Chord G3 E-5>,"[0, 4]","[3, 7]",Simpson_Invention_no6.xml,Simpson,152,1.000
302.5,<music21.chord.Chord A-3 E-5>,"[0, 5]","[3, 8]",Simpson_Invention_no6.xml,Simpson,152,1.500
303,<music21.chord.Chord B-3 D5>,"[0, 4]","[10, 2]",Simpson_Invention_no6.xml,Simpson,152,2.000
303.5,<music21.chord.Chord B-3 C5>,"[0, 2]","[10, 0]",Simpson_Invention_no6.xml,Simpson,152,2.500
304,<music21.chord.Chord A-3 F5>,"[0, 3]","[5, 8]",Simpson_Invention_no6.xml,Simpson,153,1.000
304.3333333,<music21.chord.Chord B-3 F5>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,Simpson,153,1.333
304.6666667,<music21.chord.Chord C4 F5>,"[0, 5]","[0, 5]",Simpson_Invention_no6.xml,Simpson,153,1.667
305,<music21.chord.Chord B-3 F5>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,Simpson,153,2.000
305.3333333,<music21.chord.Chord B-3 E-5>,"[0, 5]","[10, 3]",Simpson_Invention_no6.xml,Simpson,153,2.333
305.6666667,<music21.chord.Chord B-3 D5>,"[0, 4]","[10, 2]",Simpson_Invention_no6.xml,Simpson,153,2.667
306,<music21.chord.Chord B-2 G5>,"[0, 3]","[7, 10]",Simpson_Invention_no6.xml,Simpson,154,1.000
306.3333333,<music21.chord.Chord E-3 G5>,"[0, 4]","[3, 7]",Simpson_Invention_no6.xml,Simpson,154,1.333
306.6666667,<music21.chord.Chord F3 G5>,"[0, 2]","[5, 7]",Simpson_Invention_no6.xml,Simpson,154,1.667
307,<music21.chord.Chord B-3 F5>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,Simpson,154,2.000
