Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,beatNumber,Composer
20.625,<music21.chord.Chord E-5 E-6 F5 B5 F#3 B-3 E-4>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
21.125,<music21.chord.Chord F5 B5 E-5 E-6 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
21.625,<music21.chord.Chord F5 B5 E-5 E-6 F#3 E-4 E-3>,"[0, 4, 6, 7]","[11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
22.125,<music21.chord.Chord F5 B5 E-5 E-6 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
22.625,<music21.chord.Chord B-4 B-5 F5 B5 F#3 B-3 E-4>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
23.125,<music21.chord.Chord F5 B5 B-4 B-5 F3 G#3 E-4>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
23.625,<music21.chord.Chord F5 B5 B-4 B-5 F#3 E-4 E-3>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
24.125,<music21.chord.Chord F5 B5 B-4 B-5 F3 G#3 E-4>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
24.625,<music21.chord.Chord F5 B5 F#3 B-3 E-4>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
25.125,<music21.chord.Chord F5 B5 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
25.625,<music21.chord.Chord B-4 B-5 F5 B5 F#3 E-4 E-3>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
26.125,<music21.chord.Chord F5 B5 B-4 B-5 F3 G#3 E-4>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
26.625,<music21.chord.Chord G#4 G#5 F5 B5 F#3 B-3 E-4>,"[0, 2, 3, 5, 7, 8]","[3, 5, 6, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
27.125,<music21.chord.Chord F5 B5 G#4 G#5 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
27.625,<music21.chord.Chord F5 B5 G#4 G#5 F#3 E-4 E-3>,"[0, 2, 3, 5, 8]","[3, 5, 6, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
28.125,<music21.chord.Chord F#4 F#5 F5 B5 F#3 B-3 E-4>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
28.625,<music21.chord.Chord G#4 G#5 F5 B5 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
