measureNumber,beatNumber,Offset,Chord,NormalForm,PCsInNormalForm,File,Composer
64,3,191,<music21.chord.Chord B-2 G-3 D-4 G-5>,"[0, 4, 7]","[6, 10, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
65,1,192,<music21.chord.Chord A-2 B-4>,"[0, 2]","[8, 10]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
65,2,193,<music21.chord.Chord A-2 E-3 A-3 G-4 B-4>,"[0, 3, 5, 7]","[3, 6, 8, 10]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
65,3,194,<music21.chord.Chord A-2 E-3 A-3 G-4 F5>,"[0, 2, 3, 5]","[3, 5, 6, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
66,1,195,<music21.chord.Chord A-2 A4>,"[0, 1]","[8, 9]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
66,2,196,<music21.chord.Chord A-2 G-3 C4 G-4 A4>,"[0, 2, 3, 6]","[6, 8, 9, 0]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
66,3,197,<music21.chord.Chord A-2 G-3 C4 G-4 F5>,"[0, 1, 3, 7]","[5, 6, 8, 0]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
67,1,198,<music21.chord.Chord D-2 D-3 D-5>,[0],[1],Poulenc_Les_chemins_de_lamour.mxl,Poulenc
67,2,199,<music21.chord.Chord D-2 D-3 A-3 F4 D-5>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
67,3,200,<music21.chord.Chord D-2 D-3 D-4 A-4 D-5>,"[0, 5]","[8, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
68,1,201,<music21.chord.Chord D-2 D-3 F4 F5 D-6>,"[0, 4]","[1, 5]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
68,3,203,<music21.chord.Chord D-2 D-3 F4 A-4>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
69,1,204,<music21.chord.Chord A-2 A4>,"[0, 1]","[8, 9]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
69,2,205,<music21.chord.Chord A-2 G-3 C4 A4>,"[0, 2, 3, 6]","[6, 8, 9, 0]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
69,3,206,<music21.chord.Chord A-2 G-3 C4 A-4>,"[0, 2, 6]","[6, 8, 0]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
70,1,207,<music21.chord.Chord D-2 D-5>,[0],[1],Poulenc_Les_chemins_de_lamour.mxl,Poulenc
70,2,208,<music21.chord.Chord D-2 A-3 D-4 F4 A-4 D-5>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
70,3,209,<music21.chord.Chord D-2 A-3 D-4 F4 A-4 D-5>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
71,1,210,<music21.chord.Chord D-2 B5>,"[0, 2]","[11, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
71,2,211,<music21.chord.Chord D-2 A-3 D4 F4 B4 B5>,"[0, 3, 6, 8, 9]","[5, 8, 11, 1, 2]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
71,3,212,<music21.chord.Chord D-2 A-3 D4 F4 D5 B5>,"[0, 3, 6, 8, 9]","[5, 8, 11, 1, 2]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
72,1,213,<music21.chord.Chord D-3 B-5>,"[0, 3]","[10, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
72,2,214,<music21.chord.Chord D-3 B-3 E-4 G-4 B-4 B-5>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
72,3,215,<music21.chord.Chord D-3 B-3 E-4 G-4 E-5 B-5>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
73,1,216,<music21.chord.Chord D-3 E-6>,"[0, 2]","[1, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
73,2,217,<music21.chord.Chord D-3 A3 E-4 E-5 E-6>,"[0, 4, 6]","[9, 1, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
73,3,218,<music21.chord.Chord D-3 A3 E-4 G-5 E-6>,"[0, 2, 5, 8]","[1, 3, 6, 9]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
74,1,219,<music21.chord.Chord D-3 G-5>,"[0, 5]","[1, 6]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
74,2,220,<music21.chord.Chord D-3 A-3 D-4 A-4 G-5>,"[0, 2, 7]","[6, 8, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
74,3,221,<music21.chord.Chord D-3 A-3 D-4 D-5 G-5>,"[0, 2, 7]","[6, 8, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
75,1,222,<music21.chord.Chord D-3 B4>,"[0, 2]","[11, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
75,2,223,<music21.chord.Chord D-3 B3 D4 F4 B4>,"[0, 2, 3, 6]","[11, 1, 2, 5]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
75,3,224,<music21.chord.Chord D-3 B3 D4 A-4 B4>,"[0, 3, 5, 6]","[8, 11, 1, 2]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
76,1,225,<music21.chord.Chord D-3 B-4>,"[0, 3]","[10, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
76,2,226,<music21.chord.Chord D-3 B-3 D-4 E-4 B-4>,"[0, 3, 5]","[10, 1, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
76,3,227,<music21.chord.Chord D-3 B-3 D-4 G-4 B-4>,"[0, 4, 7]","[6, 10, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
77,1,228,<music21.chord.Chord D-3 A3 C4 A4 G-5>,"[0, 3, 6, 7]","[6, 9, 0, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
77,2,229,<music21.chord.Chord D-3 A3 C4 A4 G-5 A5 G-6>,"[0, 3, 6, 7]","[6, 9, 0, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
77,3,230,<music21.chord.Chord D-3 A3 C4 A4 G-5 E-6>,"[0, 1, 3, 6, 9]","[0, 1, 3, 6, 9]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
78,1,231,<music21.chord.Chord G-4 E-5 C6>,"[0, 3, 6]","[0, 3, 6]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
78,2,232,<music21.chord.Chord E-4 C5 A5>,"[0, 3, 6]","[9, 0, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
78,3,233,<music21.chord.Chord C4 A4 G-5>,"[0, 3, 6]","[6, 9, 0]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
79,1,234,<music21.chord.Chord A3 G-4 E-5>,"[0, 3, 6]","[3, 6, 9]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
79,2,235,<music21.chord.Chord G-3 E-4 C5>,"[0, 3, 6]","[0, 3, 6]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
79,3,236,<music21.chord.Chord B-3 G-4 E-5>,"[0, 3, 7]","[3, 6, 10]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
80,1,237,<music21.chord.Chord C4 A4 G-5>,"[0, 3, 6]","[6, 9, 0]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
80,2,238,<music21.chord.Chord E-4 C5 A5>,"[0, 3, 6]","[9, 0, 3]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
80,3,239,<music21.chord.Chord G-4 E-5 C6>,"[0, 3, 6]","[0, 3, 6]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
81,1,240,<music21.chord.Chord D-4 F5 D-6>,"[0, 4]","[1, 5]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
82,1,243,<music21.chord.Chord D-2 A-2 D-3 A-3 D-4 F4>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
83,1,246,<music21.chord.Chord D-3 A-3 D-4 F4 A-4 D-5 F5>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
84,1,249,<music21.chord.Chord D-4 A-4 D-5 F5 A-5 D-6 F6>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
85,1,252,<music21.chord.Chord D-2 A-2 D-3 F3 A-3 D-4 F4>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
86,1,255,<music21.chord.Chord D-2 A-2 D-3 F3 A-3 D-4 F4>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
87,1,258,<music21.chord.Chord D-2 A-2 D-3 F3 A-3 D-4 F4>,"[0, 4, 7]","[1, 5, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
