Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,Measure Count
0,<music21.chord.Chord D4 D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,Bartok,1,1
0.125,<music21.chord.Chord D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,Bartok,1,1.125
0.5,<music21.chord.Chord E4>,[0],[4],Romanian Folk Dances 2 Braul D minor.mid,Bartok,1,1.5
1,<music21.chord.Chord F4 F3 A3>,"[0, 4]","[5, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,1,2
1.125,<music21.chord.Chord F3 A3>,"[0, 4]","[5, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,1,2.125
1.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,1,2.5
2,<music21.chord.Chord A4 D2>,"[0, 5]","[9, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,2,1
2.125,<music21.chord.Chord D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,Bartok,2,1.125
2.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,2,1.5
3,<music21.chord.Chord D4 G3 B3>,"[0, 4, 7]","[7, 11, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,2,2
3.125,<music21.chord.Chord G3 B3>,"[0, 4]","[7, 11]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,2,2.125
3.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,2,2.5
4,<music21.chord.Chord A4 D2>,"[0, 5]","[9, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,3,1
5,<music21.chord.Chord A4 A3 D4 F4>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,3,2
5.125,<music21.chord.Chord A3 D4 F4>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,3,2.125
5.75,<music21.chord.Chord B4>,[0],[11],Romanian Folk Dances 2 Braul D minor.mid,Bartok,3,2.75
6,<music21.chord.Chord A4 A3 D4 F4>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,4,1
8,<music21.chord.Chord G4 G2>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,5,1
8.125,<music21.chord.Chord G2>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,5,1.125
8.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,Bartok,5,1.5
9,<music21.chord.Chord B4 D4 F4>,"[0, 3, 6]","[11, 2, 5]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,5,2
9.125,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,5,2.125
9.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,5,2.5
10,<music21.chord.Chord C5 A2>,"[0, 3]","[9, 0]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,6,1
10.25,<music21.chord.Chord C5>,[0],[0],Romanian Folk Dances 2 Braul D minor.mid,Bartok,6,1.25
11,<music21.chord.Chord C5 C4 F4>,"[0, 5]","[0, 5]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,6,2
11.25,<music21.chord.Chord B4>,[0],[11],Romanian Folk Dances 2 Braul D minor.mid,Bartok,6,2.25
11.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,Bartok,6,2.5
11.66666667,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,6,2.666666667
11.875,<music21.chord.Chord F4>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,Bartok,6,2.875
12,<music21.chord.Chord G4 G2>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,7,1
13,<music21.chord.Chord G4 C4 D4>,"[0, 2, 7]","[0, 2, 7]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,7,2
13.125,<music21.chord.Chord C4 D4>,"[0, 2]","[0, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,7,2.125
13.75,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,Bartok,7,2.75
14,<music21.chord.Chord G4 B3 D4>,"[0, 4, 7]","[7, 11, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,8,1
16,<music21.chord.Chord G4 F2>,"[0, 2]","[5, 7]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,9,1
16.125,<music21.chord.Chord F2>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,Bartok,9,1.125
16.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,Bartok,9,1.5
17,<music21.chord.Chord B4 G3 D4>,"[0, 4, 7]","[7, 11, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,9,2
17.125,<music21.chord.Chord G3 D4>,"[0, 5]","[2, 7]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,9,2.125
17.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,9,2.5
18,<music21.chord.Chord C5 E2>,"[0, 4]","[0, 4]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,10,1
18.25,<music21.chord.Chord C5>,[0],[0],Romanian Folk Dances 2 Braul D minor.mid,Bartok,10,1.25
19,<music21.chord.Chord C5 B3 C4>,"[0, 1]","[11, 0]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,10,2
19.25,<music21.chord.Chord B4>,[0],[11],Romanian Folk Dances 2 Braul D minor.mid,Bartok,10,2.25
19.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,Bartok,10,2.5
19.75,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,10,2.75
20,<music21.chord.Chord F4 F3 A3 C4>,"[0, 4, 7]","[5, 9, 0]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,11,1
20.25,<music21.chord.Chord F4>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,Bartok,11,1.25
20.5,<music21.chord.Chord E4>,[0],[4],Romanian Folk Dances 2 Braul D minor.mid,Bartok,11,1.5
21,<music21.chord.Chord F4 A3 C#4>,"[0, 4, 8]","[1, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,11,2
