Offset,Chord,measureNumber,NormalForm,PCsInNormalForm,File,Composer,beatNumber
57,<music21.chord.Chord E-4 F3 G#3>,23,"[0, 2, 5]","[3, 5, 8]",La Cloches Sonne S248 C minor.mid,Liszt,1
57.25,<music21.chord.Chord C#4 F3 G#3>,23,"[0, 4, 7]","[1, 5, 8]",La Cloches Sonne S248 C minor.mid,Liszt,1.25
57.5,<music21.chord.Chord C4 F3 G#3>,23,"[0, 3, 7]","[5, 8, 0]",La Cloches Sonne S248 C minor.mid,Liszt,1.5
57.75,<music21.chord.Chord C#4 F3 G#3>,23,"[0, 4, 7]","[1, 5, 8]",La Cloches Sonne S248 C minor.mid,Liszt,1.75
58,<music21.chord.Chord F4>,24,[0],[5],La Cloches Sonne S248 C minor.mid,Liszt,2
59,<music21.chord.Chord F4 B-3 G#3>,24,"[0, 3, 5]","[5, 8, 10]",La Cloches Sonne S248 C minor.mid,Liszt,3
59.5,<music21.chord.Chord E-4 G3 B-3>,24,"[0, 4, 7]","[3, 7, 10]",La Cloches Sonne S248 C minor.mid,Liszt,3.5
60,<music21.chord.Chord C4 E-3>,25,"[0, 3]","[0, 3]",La Cloches Sonne S248 C minor.mid,Liszt,1
60.5,<music21.chord.Chord C4>,25,[0],[0],La Cloches Sonne S248 C minor.mid,Liszt,1.5
61.5,<music21.chord.Chord C3>,25,[0],[0],La Cloches Sonne S248 C minor.mid,Liszt,2.5
62,<music21.chord.Chord G3>,26,[0],[7],La Cloches Sonne S248 C minor.mid,Liszt,3
62.75,<music21.chord.Chord E-3>,26,[0],[3],La Cloches Sonne S248 C minor.mid,Liszt,3.75
63,<music21.chord.Chord C3>,26,[0],[0],La Cloches Sonne S248 C minor.mid,Liszt,1
64,<music21.chord.Chord G#3 C4>,27,"[0, 4]","[8, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2
64.5,<music21.chord.Chord C3>,27,[0],[0],La Cloches Sonne S248 C minor.mid,Liszt,2.5
65,<music21.chord.Chord F3>,27,[0],[5],La Cloches Sonne S248 C minor.mid,Liszt,3
65.75,<music21.chord.Chord E-3>,27,[0],[3],La Cloches Sonne S248 C minor.mid,Liszt,3.75
66,<music21.chord.Chord G3>,28,[0],[7],La Cloches Sonne S248 C minor.mid,Liszt,1
67,<music21.chord.Chord C4 E-4>,28,"[0, 3]","[0, 3]",La Cloches Sonne S248 C minor.mid,Liszt,2
67.5,<music21.chord.Chord F#3>,28,[0],[6],La Cloches Sonne S248 C minor.mid,Liszt,2.5
68,<music21.chord.Chord G3>,29,[0],[7],La Cloches Sonne S248 C minor.mid,Liszt,3
68.75,<music21.chord.Chord E-3>,29,[0],[3],La Cloches Sonne S248 C minor.mid,Liszt,3.75
69,<music21.chord.Chord C3>,29,[0],[0],La Cloches Sonne S248 C minor.mid,Liszt,1
70,<music21.chord.Chord G#3 C4>,30,"[0, 4]","[8, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2
71,<music21.chord.Chord G#3 C4 F4 C3>,30,"[0, 3, 7]","[5, 8, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3
71.75,<music21.chord.Chord E-4 G#3 C4 C3>,30,"[0, 4, 7]","[8, 0, 3]",La Cloches Sonne S248 C minor.mid,Liszt,3.75
72,<music21.chord.Chord G3 C4 E-4 G4 C2 C3>,31,"[0, 3, 7]","[0, 3, 7]",La Cloches Sonne S248 C minor.mid,Liszt,1
