measureNumber,beatNumber,Offset,Chord,NormalForm,PCsInNormalForm,File,Composer
14,2.667,42,<music21.chord.Chord E5>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,1.000,42.5,<music21.chord.Chord F3 A3 D5>,"[0, 3, 7]","[2, 5, 9]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,1.333,43,<music21.chord.Chord D5>,[0],[2],Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,1.500,43.25,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,1.667,43.5,<music21.chord.Chord C4 D5>,"[0, 2]","[0, 2]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,2.000,44,<music21.chord.Chord A3 C5>,"[0, 3]","[9, 0]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,2.333,44.5,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,2.500,44.75,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,2.667,45,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
16,1.000,45.5,<music21.chord.Chord E3 G#3 B4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
16,1.333,46,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
16,1.667,46.5,<music21.chord.Chord B2 B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
16,2.000,47,<music21.chord.Chord E2 B4>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
16,2.333,47.5,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
16,2.667,48,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
17,1.000,48.5,<music21.chord.Chord F3 A3 A4>,"[0, 4]","[5, 9]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
17,1.333,49,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
17,1.667,49.5,<music21.chord.Chord F4 C5>,"[0, 5]","[0, 5]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
17,2.000,50,<music21.chord.Chord C4 C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
17,2.333,50.5,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
17,2.667,51,<music21.chord.Chord A4>,[0],[9],Sculthorpe_Sea_Chant.mxl,Sculthorpe
18,1.000,51.5,<music21.chord.Chord E3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
18,1.333,52,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
18,1.667,52.5,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
18,2.000,53,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
18,2.667,54,<music21.chord.Chord G4>,[0],[7],Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,1.000,54.5,<music21.chord.Chord F3 A3 A4>,"[0, 4]","[5, 9]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,1.333,55,<music21.chord.Chord A4>,[0],[9],Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,1.500,55.25,<music21.chord.Chord G4>,[0],[7],Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,1.667,55.5,<music21.chord.Chord C4 A4>,"[0, 3]","[9, 0]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,2.000,56,<music21.chord.Chord A3 D4>,"[0, 5]","[9, 2]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,2.333,56.5,<music21.chord.Chord D4>,[0],[2],Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,2.500,56.75,<music21.chord.Chord F4>,[0],[5],Sculthorpe_Sea_Chant.mxl,Sculthorpe
19,2.667,57,<music21.chord.Chord D4>,[0],[2],Sculthorpe_Sea_Chant.mxl,Sculthorpe
20,1.000,57.5,<music21.chord.Chord E3 G#3 E4>,"[0, 4]","[4, 8]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
20,1.333,58,<music21.chord.Chord E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
