Offset,Chord,NormalForm,PCsInNormalForm,measureNumber,Measure Count,Composer
94.5,<music21.chord.Chord E5 B3 G-1>,"[0, 3, 7]","[4, 7, 11]",,,Alkan
95,<music21.chord.Chord E-5 B3 B2 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
95.5,<music21.chord.Chord C#5 B3 G-1 B2>,"[0, 4, 6]","[7, 11, 1]",,,Alkan
96,<music21.chord.Chord B3 E3 G-1>,"[0, 3, 7]","[4, 7, 11]",,,Alkan
97,<music21.chord.Chord B4 B3 G-1 E3>,"[0, 3, 7]","[4, 7, 11]",,,Alkan
99,<music21.chord.Chord B4 B3 G-1>,"[0, 4]","[7, 11]",,,Alkan
99.5,<music21.chord.Chord C#5 B3 G-1>,"[0, 4, 6]","[7, 11, 1]",,,Alkan
99.75,<music21.chord.Chord C#5 G#3 G-1>,"[0, 1, 6]","[7, 8, 1]",,,Alkan
100,<music21.chord.Chord E-5 F3 G-1>,"[0, 2, 4]","[3, 5, 7]",,,Alkan
100.5,<music21.chord.Chord B4 F3 G-1>,"[0, 2, 6]","[5, 7, 11]",,,Alkan
101,<music21.chord.Chord E5 F3 G-1>,"[0, 1, 3]","[4, 5, 7]",,,Alkan
101.5,<music21.chord.Chord C#5 F3 G-1>,"[0, 4, 6]","[1, 5, 7]",,,Alkan
102,<music21.chord.Chord B4 F3 G-1>,"[0, 2, 6]","[5, 7, 11]",,,Alkan
103,<music21.chord.Chord B-4 F3 G-1>,"[0, 2, 5]","[5, 7, 10]",,,Alkan
104,<music21.chord.Chord B-4 G#3 G-1>,"[0, 1, 3]","[7, 8, 10]",,,Alkan
105.5,<music21.chord.Chord B-4 G3 G-1>,"[0, 3]","[7, 10]",,,Alkan
106,<music21.chord.Chord B4 F#3 G-1>,"[0, 1, 5]","[6, 7, 11]",,,Alkan
107,<music21.chord.Chord A3 G-1>,"[0, 2]","[7, 9]",,,Alkan
107.75,<music21.chord.Chord F#3 G-1>,"[0, 1]","[6, 7]",,,Alkan
108,<music21.chord.Chord E-3 G-1>,"[0, 4]","[3, 7]",,,Alkan
109,<music21.chord.Chord B4 E-3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
110,<music21.chord.Chord C#5 E-3 G-1>,"[0, 2, 6]","[1, 3, 7]",,,Alkan
111,<music21.chord.Chord G#4 E-3 G-1>,"[0, 4, 5]","[3, 7, 8]",,,Alkan
112,<music21.chord.Chord B4 F#3 G-1>,"[0, 1, 5]","[6, 7, 11]",,,Alkan
113.5,<music21.chord.Chord B-4 E-3 G-1>,"[0, 4, 7]","[3, 7, 10]",,,Alkan
114,<music21.chord.Chord A4 E3 G-1>,"[0, 3, 5]","[4, 7, 9]",,,Alkan
115,<music21.chord.Chord G-1>,[0],[7],,,Alkan
117,<music21.chord.Chord A4 E-4 G-1>,"[0, 4, 6]","[3, 7, 9]",,,Alkan
118,<music21.chord.Chord B4 E4 G-1>,"[0, 3, 7]","[4, 7, 11]",,,Alkan
119,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,,Alkan
120,<music21.chord.Chord A4 G-1>,"[0, 2]","[7, 9]",,,Alkan
121,<music21.chord.Chord A4 E4 G#3 G-1>,"[0, 3, 4, 5]","[4, 7, 8, 9]",,,Alkan
121.5,<music21.chord.Chord G4 E4 G-1 G#3>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
122,<music21.chord.Chord G#4 E4 A3 G-1>,"[0, 3, 4, 5]","[4, 7, 8, 9]",,,Alkan
123,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
123.75,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,,Alkan
124,<music21.chord.Chord B4 G-1>,"[0, 4]","[7, 11]",,,Alkan
125,<music21.chord.Chord B4 E4 A3 G-1>,"[0, 3, 5, 7]","[4, 7, 9, 11]",,,Alkan
125.5,<music21.chord.Chord B4 F#4 G-1 A3>,"[0, 1, 3, 5]","[6, 7, 9, 11]",,,Alkan
126,<music21.chord.Chord B4 G#4 B3 G-1>,"[0, 1, 4]","[7, 8, 11]",,,Alkan
127,<music21.chord.Chord G#4 F#4 B3 G-1>,"[0, 1, 2, 5]","[6, 7, 8, 11]",,,Alkan
127.75,<music21.chord.Chord B4 F#4 G-1 B3>,"[0, 1, 5]","[6, 7, 11]",,,Alkan
128,<music21.chord.Chord E5 F#4 E4 G-1>,"[0, 2, 3]","[4, 6, 7]",,,Alkan
130,<music21.chord.Chord E5 E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
131,<music21.chord.Chord F#5 G-1>,"[0, 1]","[6, 7]",,,Alkan
131.75,<music21.chord.Chord G#5 G-1>,"[0, 1]","[7, 8]",,,Alkan
132,<music21.chord.Chord A5 G-1>,"[0, 2]","[7, 9]",,,Alkan
132.5,<music21.chord.Chord C#5 G-1>,"[0, 6]","[1, 7]",,,Alkan
133,<music21.chord.Chord G#5 E4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
133.5,<music21.chord.Chord F#5 E4 G-1>,"[0, 2, 3]","[4, 6, 7]",,,Alkan
134,<music21.chord.Chord E5 E-4 G-1>,"[0, 1, 4]","[3, 4, 7]",,,Alkan
135,<music21.chord.Chord E-5 F#4 G-1>,"[0, 3, 4]","[3, 6, 7]",,,Alkan
136,<music21.chord.Chord E-5 E4 G-1>,"[0, 1, 4]","[3, 4, 7]",,,Alkan
137.5,<music21.chord.Chord E-5 C#4 G-1>,"[0, 2, 6]","[1, 3, 7]",,,Alkan
138,<music21.chord.Chord E5 E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
139,<music21.chord.Chord G-1>,[0],[7],,,Alkan
141,<music21.chord.Chord B4 G#4 G-1>,"[0, 1, 4]","[7, 8, 11]",,,Alkan
141.125,<music21.chord.Chord B4 G#4 G-1>,"[0, 1, 4]","[7, 8, 11]",,,Alkan
142,<music21.chord.Chord C#5 B4 F#4 G-1>,"[0, 1, 5, 7]","[6, 7, 11, 1]",,,Alkan
142.125,<music21.chord.Chord C#5 A4 F#4 G-1>,"[0, 1, 3, 7]","[6, 7, 9, 1]",,,Alkan
143,<music21.chord.Chord G#4 A4 G-1>,"[0, 1, 2]","[7, 8, 9]",,,Alkan
143.125,<music21.chord.Chord G#4 C#5 A4 G-1>,"[0, 1, 2, 6]","[7, 8, 9, 1]",,,Alkan
144,<music21.chord.Chord B4 C#5 G#4 G-1>,"[0, 1, 4, 6]","[7, 8, 11, 1]",,,Alkan
144.125,<music21.chord.Chord B4 G#4 G-1>,"[0, 1, 4]","[7, 8, 11]",,,Alkan
145.5,<music21.chord.Chord B-4 B4 E4 G-1>,"[0, 3, 6, 7]","[4, 7, 10, 11]",,,Alkan
145.625,<music21.chord.Chord B-4 G#4 E4 G-1>,"[0, 3, 4, 6]","[4, 7, 8, 10]",,,Alkan
146,<music21.chord.Chord A4 G#4 G-1>,"[0, 1, 2]","[7, 8, 9]",,,Alkan
146.125,<music21.chord.Chord A4 B4 G#4 G-1>,"[0, 1, 2, 4]","[7, 8, 9, 11]",,,Alkan
147,<music21.chord.Chord B4 G-1>,"[0, 4]","[7, 11]",,,Alkan
147.125,<music21.chord.Chord G-1>,[0],[7],,,Alkan
149,<music21.chord.Chord A4 G-1>,"[0, 2]","[7, 9]",,,Alkan
150,<music21.chord.Chord B4 G-1>,"[0, 4]","[7, 11]",,,Alkan
151,<music21.chord.Chord F#4 E4 G-1>,"[0, 2, 3]","[4, 6, 7]",,,Alkan
151.125,<music21.chord.Chord F#4 G#4 E4 G-1>,"[0, 2, 3, 4]","[4, 6, 7, 8]",,,Alkan
151.75,<music21.chord.Chord F#4 G#4 G-1>,"[0, 1, 2]","[6, 7, 8]",,,Alkan
151.875,<music21.chord.Chord A4 F#4 G-1>,"[0, 1, 3]","[6, 7, 9]",,,Alkan
152,<music21.chord.Chord A4 G-1>,"[0, 2]","[7, 9]",,,Alkan
152.125,<music21.chord.Chord A4 B4 G-1>,"[0, 2, 4]","[7, 9, 11]",,,Alkan
152.5,<music21.chord.Chord A4 B4 G#4 G-1>,"[0, 1, 2, 4]","[7, 8, 9, 11]",,,Alkan
153,<music21.chord.Chord A4 B4 F#4 G-1>,"[0, 1, 3, 5]","[6, 7, 9, 11]",,,Alkan
153.125,<music21.chord.Chord A4 F#4 G-1>,"[0, 1, 3]","[6, 7, 9]",,,Alkan
153.5,<music21.chord.Chord G4 A4 E4 G-1>,"[0, 3, 5]","[4, 7, 9]",,,Alkan
153.625,<music21.chord.Chord G4 G#4 E4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
154,<music21.chord.Chord G#4 F#4 G-1>,"[0, 1, 2]","[6, 7, 8]",,,Alkan
154.125,<music21.chord.Chord G#4 A4 F#4 G-1>,"[0, 1, 2, 3]","[6, 7, 8, 9]",,,Alkan
154.5,<music21.chord.Chord G#4 A4 E4 G-1>,"[0, 3, 4, 5]","[4, 7, 8, 9]",,,Alkan
154.625,<music21.chord.Chord G#4 E4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
155,<music21.chord.Chord E4 G#4 E-4 G-1>,"[0, 1, 4, 5]","[3, 4, 7, 8]",,,Alkan
155.125,<music21.chord.Chord E4 F#4 E-4 G-1>,"[0, 1, 3, 4]","[3, 4, 6, 7]",,,Alkan
155.5,<music21.chord.Chord E4 F#4 C#4 G-1>,"[0, 3, 5, 6]","[1, 4, 6, 7]",,,Alkan
155.625,<music21.chord.Chord E4 C#4 G-1>,"[0, 3, 6]","[1, 4, 7]",,,Alkan
155.75,<music21.chord.Chord G#4 E4 C#4 G-1>,"[0, 3, 6, 7]","[1, 4, 7, 8]",,,Alkan
156,<music21.chord.Chord B4 E4 B3 G-1>,"[0, 3, 7]","[4, 7, 11]",,,Alkan
156.125,<music21.chord.Chord B4 E-4 B3 G-1>,"[0, 4, 8]","[3, 7, 11]",,,Alkan
157,<music21.chord.Chord B4 E-4 E3 G-1>,"[0, 1, 4, 8]","[3, 4, 7, 11]",,,Alkan
157.125,<music21.chord.Chord B4 E4 E3 G-1>,"[0, 3, 7]","[4, 7, 11]",,,Alkan
158,<music21.chord.Chord B4 E4 F#3 G-1>,"[0, 2, 3, 7]","[4, 6, 7, 11]",,,Alkan
158.125,<music21.chord.Chord B4 E-4 F#4 F#3 G-1>,"[0, 4, 7, 8]","[11, 3, 6, 7]",,,Alkan
159,<music21.chord.Chord G#4 E-4 F#4 F#3 F#2 G-1>,"[0, 3, 4, 5]","[3, 6, 7, 8]",,,Alkan
159.125,<music21.chord.Chord G#4 C#4 E4 F#3 G-1 F#2>,"[0, 3, 5, 6, 7]","[1, 4, 6, 7, 8]",,,Alkan
159.75,<music21.chord.Chord B4 C#4 E4 F#3 G-1 F#2>,"[0, 2, 5, 7, 8]","[11, 1, 4, 6, 7]",,,Alkan
160,<music21.chord.Chord E5 C#4 E4 F#3 B2 G-1>,"[0, 2, 5, 7, 8]","[11, 1, 4, 6, 7]",,,Alkan
160.125,<music21.chord.Chord E5 C#4 E4 F#3 G-1 B2>,"[0, 2, 5, 7, 8]","[11, 1, 4, 6, 7]",,,Alkan
162.125,<music21.chord.Chord E5 B3 E-4 F#3 G-1 B2>,"[0, 1, 3, 4, 8]","[3, 4, 6, 7, 11]",,,Alkan
163,<music21.chord.Chord F#5 B3 E-4 G-1>,"[0, 4, 7, 8]","[11, 3, 6, 7]",,,Alkan
163.125,<music21.chord.Chord F#5 G-1>,"[0, 1]","[6, 7]",,,Alkan
163.75,<music21.chord.Chord G#5 G-1>,"[0, 1]","[7, 8]",,,Alkan
164,<music21.chord.Chord B5 G-1>,"[0, 4]","[7, 11]",,,Alkan
164.5,<music21.chord.Chord A5 G-1>,"[0, 2]","[7, 9]",,,Alkan
