Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
61.25,<music21.chord.Chord D3 G-3 B-3 E-4 A-5>,"[0, 1, 4, 6, 8]","[2, 3, 6, 8, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,25,1.250
61.5,<music21.chord.Chord D3 G-3 B-3 E-4 G-5>,"[0, 1, 4, 8]","[2, 3, 6, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,25,1.500
61.75,<music21.chord.Chord D3 G-3 B-3 E-4 F5>,"[0, 1, 3, 4, 8]","[2, 3, 5, 6, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,25,1.750
62,<music21.chord.Chord D3 G-3 B-3 E-4 E-5>,"[0, 1, 4, 8]","[2, 3, 6, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,25,2.000
62.25,<music21.chord.Chord D3 G-3 B-3 E-4 D-5>,"[0, 3, 4, 5, 8]","[10, 1, 2, 3, 6]",Carbajo_Yellow_Saraband.xml,Carbajo,25,2.250
62.5,<music21.chord.Chord D3 G-3 B-3 E-4 C-5>,"[0, 1, 4, 5, 8]","[10, 11, 2, 3, 6]",Carbajo_Yellow_Saraband.xml,Carbajo,25,2.500
62.75,<music21.chord.Chord D3 G-3 B-3 E-4 B-4>,"[0, 1, 4, 8]","[2, 3, 6, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,25,2.750
63,<music21.chord.Chord D3 G-3 B-3 E-4 A-4>,"[0, 1, 4, 6, 8]","[2, 3, 6, 8, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,25,3.000
63.25,<music21.chord.Chord D3 G-3 B-3 E-4 G-4>,"[0, 1, 4, 8]","[2, 3, 6, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,25,3.250
63.5,<music21.chord.Chord D3 G-3 B-3 E-4 F4>,"[0, 1, 3, 4, 8]","[2, 3, 5, 6, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,25,3.500
63.75,<music21.chord.Chord D3 G-3 B-3 E-4>,"[0, 1, 4, 8]","[2, 3, 6, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,25,3.750
64,<music21.chord.Chord D3 F3 A3 D4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,26,1.000
65,<music21.chord.Chord D1 D4>,[0],[2],Carbajo_Yellow_Saraband.xml,Carbajo,26,2.000
65.5,<music21.chord.Chord D1>,[0],[2],Carbajo_Yellow_Saraband.xml,Carbajo,26,2.500
66,<music21.chord.Chord D2 F5 A5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,27,1.000
66.5,<music21.chord.Chord D3 F5 D6>,"[0, 3]","[2, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,27,1.500
66.75,<music21.chord.Chord D3 E5 D6>,"[0, 2]","[2, 4]",Carbajo_Yellow_Saraband.xml,Carbajo,27,1.750
67,<music21.chord.Chord G2 D5 D6>,"[0, 5]","[2, 7]",Carbajo_Yellow_Saraband.xml,Carbajo,27,2.000
67.5,<music21.chord.Chord B-3 D5 G5>,"[0, 3, 7]","[7, 10, 2]",Carbajo_Yellow_Saraband.xml,Carbajo,27,2.500
67.75,<music21.chord.Chord B-3 C5 G5>,"[0, 3, 5]","[7, 10, 0]",Carbajo_Yellow_Saraband.xml,Carbajo,27,2.750
68,<music21.chord.Chord D3 B-4 G5>,"[0, 3, 7]","[7, 10, 2]",Carbajo_Yellow_Saraband.xml,Carbajo,27,3.000
68.5,<music21.chord.Chord G2 B-4 F5>,"[0, 2, 5]","[5, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,27,3.500
68.75,<music21.chord.Chord G2 B-4 E5>,"[0, 3, 6]","[4, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,27,3.750
69,<music21.chord.Chord D3 A4 D5 F5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,28,1.000
69.25,<music21.chord.Chord D3 A4 D5 G5>,"[0, 2, 7]","[7, 9, 2]",Carbajo_Yellow_Saraband.xml,Carbajo,28,1.250
69.5,<music21.chord.Chord F3 F4 A4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,28,1.500
70,<music21.chord.Chord D3 F4 A4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,28,2.000
70.5,<music21.chord.Chord A2 F4 A4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,28,2.500
71,<music21.chord.Chord F2 A4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,29,1.000
71.5,<music21.chord.Chord D2 A4 B-5>,"[0, 1, 5]","[9, 10, 2]",Carbajo_Yellow_Saraband.xml,Carbajo,29,1.500
71.75,<music21.chord.Chord D2 C5 B-5>,"[0, 2, 4]","[10, 0, 2]",Carbajo_Yellow_Saraband.xml,Carbajo,29,1.750
72,<music21.chord.Chord B-1 D5 B-5>,"[0, 4]","[10, 2]",Carbajo_Yellow_Saraband.xml,Carbajo,29,2.000
72.5,<music21.chord.Chord F3 D5 E5>,"[0, 2, 3]","[2, 4, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,29,2.500
72.75,<music21.chord.Chord F3 C5 E5>,"[0, 4, 5]","[0, 4, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,29,2.750
73,<music21.chord.Chord D3 B-4 E5>,"[0, 4, 6]","[10, 2, 4]",Carbajo_Yellow_Saraband.xml,Carbajo,29,3.000
73.5,<music21.chord.Chord B-2 B-4 D5>,"[0, 4]","[10, 2]",Carbajo_Yellow_Saraband.xml,Carbajo,29,3.500
73.75,<music21.chord.Chord B-2 B-4 C#5>,"[0, 3]","[10, 1]",Carbajo_Yellow_Saraband.xml,Carbajo,29,3.750
74,<music21.chord.Chord E2 G#4 B4 D5>,"[0, 3, 6, 8]","[8, 11, 2, 4]",Carbajo_Yellow_Saraband.xml,Carbajo,30,1.000
74.25,<music21.chord.Chord E2 G#4 B4 E5>,"[0, 4, 7]","[4, 8, 11]",Carbajo_Yellow_Saraband.xml,Carbajo,30,1.250
74.5,<music21.chord.Chord A2 C#4 E4 A4>,"[0, 4, 7]","[9, 1, 4]",Carbajo_Yellow_Saraband.xml,Carbajo,30,1.500
75,<music21.chord.Chord E3 C#4 E4 A4>,"[0, 4, 7]","[9, 1, 4]",Carbajo_Yellow_Saraband.xml,Carbajo,30,2.000
75.5,<music21.chord.Chord A3 C#4 E4 A4>,"[0, 4, 7]","[9, 1, 4]",Carbajo_Yellow_Saraband.xml,Carbajo,30,2.500
76,<music21.chord.Chord D2 A4 F5 A5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,31,1.000
76.5,<music21.chord.Chord D3 D5 F5 D6>,"[0, 3]","[2, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,31,1.500
76.75,<music21.chord.Chord D3 D5 E5 D6>,"[0, 2]","[2, 4]",Carbajo_Yellow_Saraband.xml,Carbajo,31,1.750
77,<music21.chord.Chord G1 D5 F5 D6>,"[0, 3, 5]","[2, 5, 7]",Carbajo_Yellow_Saraband.xml,Carbajo,31,2.000
77.5,<music21.chord.Chord D2 G4 F5 G5>,"[0, 3, 5]","[2, 5, 7]",Carbajo_Yellow_Saraband.xml,Carbajo,31,2.500
77.75,<music21.chord.Chord D2 G4 E5 G5>,"[0, 2, 5]","[2, 4, 7]",Carbajo_Yellow_Saraband.xml,Carbajo,31,2.750
78,<music21.chord.Chord B-2 G4 D5 G5>,"[0, 3, 7]","[7, 10, 2]",Carbajo_Yellow_Saraband.xml,Carbajo,31,3.000
78.5,<music21.chord.Chord D3 F4 D5 F5>,"[0, 3]","[2, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,31,3.500
78.75,<music21.chord.Chord D3 E4 D5 E5>,"[0, 2]","[2, 4]",Carbajo_Yellow_Saraband.xml,Carbajo,31,3.750
79,<music21.chord.Chord C3 F4 B-4 C5 F5>,"[0, 2, 7]","[10, 0, 5]",Carbajo_Yellow_Saraband.xml,Carbajo,32,1.000
79.25,<music21.chord.Chord C3 G4 G5>,"[0, 5]","[7, 0]",Carbajo_Yellow_Saraband.xml,Carbajo,32,1.250
79.5,<music21.chord.Chord F3 E4 A4 C5 E5>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Carbajo_Yellow_Saraband.xml,Carbajo,32,1.500
80,<music21.chord.Chord C3 E4 A4 C5 E5>,"[0, 3, 7]","[9, 0, 4]",Carbajo_Yellow_Saraband.xml,Carbajo,32,2.000
80.5,<music21.chord.Chord F2 E4 A4 C5 E5>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Carbajo_Yellow_Saraband.xml,Carbajo,32,2.500
81,<music21.chord.Chord B-1 D4 A4 D5>,"[0, 1, 5]","[9, 10, 2]",Carbajo_Yellow_Saraband.xml,Carbajo,33,1.000
81.5,<music21.chord.Chord B-2 A4 B-4 B-5>,"[0, 1]","[9, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,33,1.500
