Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,MeasureCount,Composer
87.16666667,<music21.chord.Chord B-4 B-3 G3>,"[0, 3]","[7, 10]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
87.25,<music21.chord.Chord B-4>,[0],[10],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
88.25,<music21.chord.Chord A1 A3 A2>,[0],[9],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
88.75,<music21.chord.Chord A3 A2>,[0],[9],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
89.75,<music21.chord.Chord F#4 D5 A4 D4>,"[0, 4, 7]","[2, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
89.875,<music21.chord.Chord F#3 C4 F#4 D5 A4 D4>,"[0, 3, 6, 8]","[6, 9, 0, 2]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
90.125,<music21.chord.Chord D5 A4 D4 F#3 C4>,"[0, 3, 6, 8]","[6, 9, 0, 2]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
90.25,<music21.chord.Chord F#3>,[0],[6],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
91.25,<music21.chord.Chord G#3 G#2 G#1>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
91.875,<music21.chord.Chord G#3 G#2>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
92.75,<music21.chord.Chord E-4 C5 C4 F#4 F#3>,"[0, 3, 6]","[0, 3, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
92.875,<music21.chord.Chord E-3 E-4 C5 C4 F#4 F#3>,"[0, 3, 6]","[0, 3, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
93.125,<music21.chord.Chord C5 C4 F#4 F#3 E-3>,"[0, 3, 6]","[0, 3, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
93.25,<music21.chord.Chord F#4 F#3 E-3>,"[0, 3]","[3, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
93.375,<music21.chord.Chord E-3>,[0],[3],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
94.625,<music21.chord.Chord C#3 C#2 C#1>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
95.29166667,<music21.chord.Chord C#3 C#2>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
96.5,<music21.chord.Chord C#5 E4>,"[0, 3]","[1, 4]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
96.625,<music21.chord.Chord C#4 G#4 G#3 E3 C#5 E4>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
96.95833333,<music21.chord.Chord C#5 E4 G#4 G#3 E3>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
97,<music21.chord.Chord C#5 E4 G#4 G#3>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
97.125,<music21.chord.Chord C#5 E4>,"[0, 3]","[1, 4]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
97.16666667,<music21.chord.Chord C#5>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
98,<music21.chord.Chord G#5 B4 G#4 C#5 B3 C#4>,"[0, 3, 5]","[8, 11, 1]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
98.875,<music21.chord.Chord G#5 B4 G#4 B3 C#4>,"[0, 3, 5]","[8, 11, 1]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
99.5,<music21.chord.Chord F#5 A4 F#4>,"[0, 3]","[6, 9]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
99.625,<music21.chord.Chord C#5 C#4 A3 F#5 A4 F#4>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
99.75,<music21.chord.Chord F#5 A4 F#4 C#5 C#4>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
99.83333333,<music21.chord.Chord C#5 C#4>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
100,<music21.chord.Chord C#4>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
100.875,<music21.chord.Chord A3 A2 A1>,[0],[9],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
101.25,<music21.chord.Chord A3 A2>,[0],[9],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
102.125,<music21.chord.Chord E5 E4 A4 F#4>,"[0, 2, 5]","[4, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
102.25,<music21.chord.Chord F#3 C4 E5 E4 A4 F#4>,"[0, 2, 5, 8]","[4, 6, 9, 0]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
102.375,<music21.chord.Chord E5 E4 A4 F#3 C4>,"[0, 2, 5, 8]","[4, 6, 9, 0]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
102.4583333,<music21.chord.Chord F#3 C4>,"[0, 6]","[0, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
103.625,<music21.chord.Chord G#3 G#1 G#2>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
105,<music21.chord.Chord E-4 C5 C4>,"[0, 3]","[0, 3]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
105.125,<music21.chord.Chord F#4 F#3 E-4 C5 C4>,"[0, 3, 6]","[0, 3, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
105.25,<music21.chord.Chord E-3 E-4 C5 C4 F#4 F#3>,"[0, 3, 6]","[0, 3, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
105.375,<music21.chord.Chord C5 C4 F#4 F#3 E-3>,"[0, 3, 6]","[0, 3, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
105.5,<music21.chord.Chord C5 F#4 F#3 E-3>,"[0, 3, 6]","[0, 3, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
105.625,<music21.chord.Chord F#4 F#3 E-3>,"[0, 3]","[3, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
105.75,<music21.chord.Chord F#4 F#3>,[0],[6],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
107,<music21.chord.Chord C#3 C#1>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
107.125,<music21.chord.Chord C#2 C#3 C#1>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
108.125,<music21.chord.Chord C#2>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
109.375,<music21.chord.Chord C#5>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
109.5,<music21.chord.Chord G#3 E4 C#4 G#4 E3 C#5>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
110,<music21.chord.Chord C#5 G#3 C#4 G#4 E3>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
110.125,<music21.chord.Chord C#5 G#3 E3>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
110.25,<music21.chord.Chord C#5>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
110.75,<music21.chord.Chord D5 A4 F#4 D4>,"[0, 4, 7]","[2, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
110.875,<music21.chord.Chord A3 F#3 D5 A4 F#4 D4>,"[0, 4, 7]","[2, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
111.0833333,<music21.chord.Chord D5 A4 A3 F#3>,"[0, 4, 7]","[2, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
111.2083333,<music21.chord.Chord D5 A4>,"[0, 5]","[9, 2]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
111.875,<music21.chord.Chord B4 D4 F#4>,"[0, 3, 7]","[11, 2, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
112,<music21.chord.Chord F#3 B3 D3 B4 D4 F#4>,"[0, 3, 7]","[11, 2, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
112.3333333,<music21.chord.Chord B4 D4 F#4>,"[0, 3, 7]","[11, 2, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
113,<music21.chord.Chord C#5 C#4 E4 G#4 G#3 E3>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
113.25,<music21.chord.Chord C#5 C#4>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
113.875,<music21.chord.Chord A4>,[0],[9],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
114,<music21.chord.Chord A3 C#4 E4 E3 C#3 A4>,"[0, 4, 7]","[9, 1, 4]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
114.25,<music21.chord.Chord A4 A3 C#4 E4 C#3>,"[0, 4, 7]","[9, 1, 4]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
114.375,<music21.chord.Chord A4 E4 C#3>,"[0, 4, 7]","[9, 1, 4]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
114.875,<music21.chord.Chord B4 F#3>,"[0, 5]","[6, 11]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
115,<music21.chord.Chord D4 F#3 F#4 D3 B4>,"[0, 3, 7]","[11, 2, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
115.125,<music21.chord.Chord B3 B4 D4 F#3 F#4 D3>,"[0, 3, 7]","[11, 2, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
115.25,<music21.chord.Chord B3>,[0],[11],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
116,<music21.chord.Chord G#4 B3 B2 D4 G#3 F#3>,"[0, 2, 5, 8]","[6, 8, 11, 2]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
116.375,<music21.chord.Chord G#4 B2 D4 F#3>,"[0, 2, 5, 8]","[6, 8, 11, 2]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
116.5,<music21.chord.Chord G#4>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
117.125,<music21.chord.Chord C#4 A4 F#4 A3 C#3>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
117.25,<music21.chord.Chord F#3 C#4 A4 F#4 A3 C#3>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
118.375,<music21.chord.Chord A4 C#4 A3 C#3 F#4>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
118.5,<music21.chord.Chord F#3 A4 C#4 A3 C#3 F#4>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
